gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
lane122s000605_bin.2.o_k141_32149-flag_0-multi_4.9796-len_8758_14	7378	8757	1380	1	0.642	11	AGGAG	GENOMAD.209584.VP	3.149e-38	153	0	0	0	2561	Caudoviricetes	NA	NA	PF08707	Primase C terminal 2 (PriCT-2)
lane122s000605_bin.2.o_k141_450240-flag_0-multi_3.9841-len_3167_1	166	357	192	1	0.531	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_450240-flag_0-multi_3.9841-len_3167_2	532	711	180	1	0.578	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_450240-flag_0-multi_3.9841-len_3167_3	708	1205	498	1	0.614	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_450240-flag_0-multi_3.9841-len_3167_4	1217	1816	600	1	0.642	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_450240-flag_0-multi_3.9841-len_3167_5	1830	2282	453	1	0.605	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_450240-flag_0-multi_3.9841-len_3167_6	2279	3103	825	1	0.653	11	GGAG/GAGG	GENOMAD.222032.VP	1.137e-40	154	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_450240-flag_0-multi_3.9841-len_3167_7	3107	3166	60	1	0.617	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_372651-flag_1-multi_6.0000-len_6489_1	1	381	381	1	0.593	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_372651-flag_1-multi_6.0000-len_6489_2	559	1167	609	1	0.586	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_372651-flag_1-multi_6.0000-len_6489_3	1346	1594	249	1	0.538	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_372651-flag_1-multi_6.0000-len_6489_4	1591	1836	246	1	0.610	11	None	GENOMAD.030015.VV	1.652e-29	112	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_372651-flag_1-multi_6.0000-len_6489_5	1899	2066	168	1	0.637	11	None	GENOMAD.193761.VC	3.275e-05	41	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_372651-flag_1-multi_6.0000-len_6489_6	2080	2265	186	1	0.554	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_372651-flag_1-multi_6.0000-len_6489_7	2332	2586	255	-1	0.580	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_372651-flag_1-multi_6.0000-len_6489_8	2609	4264	1656	1	0.604	11	None	GENOMAD.027443.VV	4.753e-73	260	0	0	1	2561	Caudoviricetes	NA	NA	PF17288;PF04466	phage terminase, large subunit, PBSX family
lane122s000605_bin.2.o_k141_372651-flag_1-multi_6.0000-len_6489_9	4388	6433	2046	1	0.630	11	GGAG/GAGG	GENOMAD.048172.VV	6.857e-55	209	0	0	1	1	NA	NA	NA	PF16510	Phage P22-like portal protein
lane122s000605_bin.2.o_k141_149098-flag_1-multi_4.0000-len_3895_1	2	421	420	-1	0.593	11	GGA/GAG/AGG	GENOMAD.209093.VV	0.000298	42	0	0	0	2561	Caudoviricetes	NA	NA	PF00961	LAGLIDADG endonuclease
lane122s000605_bin.2.o_k141_149098-flag_1-multi_4.0000-len_3895_2	418	864	447	-1	0.579	11	None	GENOMAD.169801.VP	5.987e-47	166	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_149098-flag_1-multi_4.0000-len_3895_3	1045	1431	387	-1	0.618	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_149098-flag_1-multi_4.0000-len_3895_4	1431	1955	525	-1	0.550	11	GGAG/GAGG	GENOMAD.194293.VP	3.744e-29	116	0	0	0	2561	Caudoviricetes	NA	NA	PF05551	Zinc-binding loop region of homing endonuclease
lane122s000605_bin.2.o_k141_149098-flag_1-multi_4.0000-len_3895_5	1952	2830	879	-1	0.612	11	GGxGG	GENOMAD.181783.VP	1.197e-11	68	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_149098-flag_1-multi_4.0000-len_3895_6	2833	3048	216	-1	0.611	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_149098-flag_1-multi_4.0000-len_3895_7	3045	3257	213	-1	0.648	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_149098-flag_1-multi_4.0000-len_3895_8	3254	3493	240	-1	0.604	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_149098-flag_1-multi_4.0000-len_3895_9	3490	3675	186	-1	0.645	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_149098-flag_1-multi_4.0000-len_3895_10	3672	3893	222	-1	0.491	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_207572-flag_1-multi_1.0000-len_1745_1	55	1527	1473	1	0.576	11	GGA/GAG/AGG	GENOMAD.034519.VV	6.18e-59	216	0	0	1	2561	Caudoviricetes	NA	NA	PF05136	phage portal protein, HK97 family
lane122s000605_bin.2.o_k141_207572-flag_1-multi_1.0000-len_1745_2	1514	1744	231	1	0.567	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_100674-flag_1-multi_1.6084-len_2051_1	93	386	294	1	0.554	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_100674-flag_1-multi_1.6084-len_2051_2	392	1804	1413	1	0.580	11	GGA/GAG/AGG	GENOMAD.034519.VV	9.101e-52	194	0	0	1	2561	Caudoviricetes	NA	NA	PF05136	phage portal protein, HK97 family
lane122s000605_bin.2.o_k141_100674-flag_1-multi_1.6084-len_2051_3	1801	2049	249	1	0.622	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_1	172	1176	1005	1	0.654	11	GGA/GAG/AGG	GENOMAD.097650.VV	9.828e-07	53	0	0	0	1	NA	NA	NA	PF13641	Glycosyltransferase like family 2
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_2	1190	1375	186	1	0.608	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_3	1375	1494	120	1	0.608	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_4	1497	1958	462	1	0.630	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_5	2056	4383	2328	1	0.649	11	None	GENOMAD.190509.VP	1.997e-28	126	0	0	1	2561	Caudoviricetes	NA	NA	PF03354	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_6	4396	4623	228	1	0.702	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_7	4627	7734	3108	1	0.660	11	GGAG/GAGG	GENOMAD.189889.VP	3.021e-27	123	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_8	7731	8792	1062	1	0.684	11	GGA/GAG/AGG	GENOMAD.127313.VV	2.931e-25	111	0	0	1	2561	Caudoviricetes	NA	NA	PF04586	Phage head maturation protease
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_9	8869	9135	267	1	0.644	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_10	9145	9717	573	1	0.642	11	GGA/GAG/AGG	GENOMAD.210378.VC	3.866e-05	46	0	0	0	1	NA	NA	NA	PF04989	Cephalosporin hydroxylase
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_11	10042	11445	1404	1	0.657	11	GGA/GAG/AGG	GENOMAD.092606.VV	3.925e-41	162	0	0	1	2561	Caudoviricetes	NA	NA	PF05065	Predicted phage phi-C31 gp36 major capsid-like protein
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_12	11501	12049	549	1	0.617	11	GGAG/GAGG	GENOMAD.118557.VV	4.428e-40	148	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_13	12095	13033	939	1	0.613	11	GGA/GAG/AGG	GENOMAD.026860.VV	3.119e-44	166	0	0	0	2561	Caudoviricetes	NA	NA	PF07602	Putative Zn-finger protein
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_14	13030	13656	627	1	0.632	11	None	GENOMAD.087499.VV	5.91e-09	58	0	0	0	2561	Caudoviricetes	NA	NA	PF10111	chitooligosaccharide synthase NodC
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_15	13713	13916	204	1	0.696	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_16	13924	14148	225	1	0.680	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_363302-flag_1-multi_5.0000-len_14591_17	14127	14591	465	1	0.673	11	AGGAG	GENOMAD.158311.VV	1.422e-22	96	0	0	1	2561	Caudoviricetes	NA	NA	PF05135	phage conserved hypothetical protein, phiE125 gp8 family
lane122s000605_bin.2.o_k141_460483-flag_0-multi_3.9884-len_3241_1	2	493	492	1	0.569	11	None	GENOMAD.135981.VP	1.202e-28	114	0	0	1	2561	Caudoviricetes	NA	NA	PF05065	Phage capsid family
lane122s000605_bin.2.o_k141_460483-flag_0-multi_3.9884-len_3241_2	605	895	291	1	0.567	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_460483-flag_0-multi_3.9884-len_3241_3	892	2340	1449	1	0.566	11	GGAG/GAGG	GENOMAD.034519.VV	2.356e-58	214	0	0	1	2561	Caudoviricetes	NA	NA	PF05136	phage portal protein, HK97 family
lane122s000605_bin.2.o_k141_460483-flag_0-multi_3.9884-len_3241_4	2321	3232	912	1	0.588	11	None	GENOMAD.089557.VV	1.369e-11	68	0	0	0	2561	Caudoviricetes	NA	NA	K03987	NA
lane122s000605_bin.2.o_k141_22867-flag_1-multi_4.0000-len_5914_1	3	422	420	1	0.602	11	None	GENOMAD.135981.VP	2.712e-26	106	0	0	1	2561	Caudoviricetes	NA	NA	PF05065	Phage capsid family
lane122s000605_bin.2.o_k141_22867-flag_1-multi_4.0000-len_5914_2	492	2027	1536	1	0.604	11	GGA/GAG/AGG	GENOMAD.034519.VV	2.356e-56	209	0	0	1	2561	Caudoviricetes	NA	NA	PF05136	phage portal protein, HK97 family
lane122s000605_bin.2.o_k141_22867-flag_1-multi_4.0000-len_5914_3	2024	2200	177	1	0.520	11	GGAGG	GENOMAD.106463.VV	4.515e-10	55	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_22867-flag_1-multi_4.0000-len_5914_4	2184	2576	393	1	0.616	11	AGGAG	GENOMAD.040919.VV	1.473e-53	184	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_22867-flag_1-multi_4.0000-len_5914_5	2590	3792	1203	1	0.560	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_22867-flag_1-multi_4.0000-len_5914_6	3794	4105	312	1	0.571	11	AGGA	GENOMAD.063841.VV	2.76e-42	150	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_22867-flag_1-multi_4.0000-len_5914_7	4114	4884	771	1	0.637	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_22867-flag_1-multi_4.0000-len_5914_8	4894	5550	657	1	0.598	11	GGAG/GAGG	GENOMAD.161994.VP	3.248e-16	80	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_22867-flag_1-multi_4.0000-len_5914_9	5547	5912	366	1	0.672	11	GGA/GAG/AGG	GENOMAD.158311.VV	3.047e-17	79	0	0	1	2561	Caudoviricetes	NA	NA	PF05135	phage conserved hypothetical protein, phiE125 gp8 family
lane122s000605_bin.2.o_k141_246723-flag_1-multi_5.0000-len_4941_1	3	872	870	-1	0.689	11	GGAG/GAGG	GENOMAD.038862.VV	1.826e-92	305	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_246723-flag_1-multi_5.0000-len_4941_2	956	1126	171	-1	0.626	11	None	GENOMAD.014388.VV	1.13e-14	68	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_246723-flag_1-multi_5.0000-len_4941_3	1126	1431	306	-1	0.614	11	None	GENOMAD.051122.VV	5.592e-42	149	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_246723-flag_1-multi_5.0000-len_4941_4	1433	1555	123	-1	0.504	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_246723-flag_1-multi_5.0000-len_4941_5	1567	2595	1029	-1	0.588	11	AGGA	GENOMAD.086446.VV	2.114e-06	52	0	0	0	6064	Autographiviridae	NA	NA	PF12708	Pectate lyase superfamily protein
lane122s000605_bin.2.o_k141_246723-flag_1-multi_5.0000-len_4941_6	2592	3680	1089	-1	0.588	11	GGxGG	GENOMAD.137479.VP	1.156e-06	53	0	0	0	2561	Caudoviricetes	NA	NA	PF12708;PF12541;PF00295	twin-arg-translocated uncharacterized repeat protein
lane122s000605_bin.2.o_k141_246723-flag_1-multi_5.0000-len_4941_7	3680	4939	1260	-1	0.614	11	None	GENOMAD.082635.VV	2.95e-10	65	0	0	0	1	NA	NA	NA	NA	SOCS box protein SSB-1, contains SPRY domain
lane122s000605_bin.2.o_k141_266182-flag_1-multi_2.0000-len_2883_1	3	989	987	-1	0.618	11	AGGAG	GENOMAD.136987.VP	1.594e-34	138	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_266182-flag_1-multi_2.0000-len_2883_2	990	1211	222	-1	0.590	11	None	GENOMAD.118287.VV	1.168e-07	49	0	0	0	2561	Caudoviricetes	NA	NA	TIGR02216	NA
lane122s000605_bin.2.o_k141_266182-flag_1-multi_2.0000-len_2883_3	1301	1639	339	-1	0.619	11	None	GENOMAD.090775.VV	1.703e-11	62	0	0	0	1	NA	NA	NA	PF16478	Phage tail tube protein, GTA-gp10
lane122s000605_bin.2.o_k141_266182-flag_1-multi_2.0000-len_2883_4	1645	2124	480	-1	0.602	11	AGGAG	GENOMAD.020866.VV	1.216e-35	134	0	0	1	2561	Caudoviricetes	NA	NA	PF16463	Phage tail tube protein family
lane122s000605_bin.2.o_k141_266182-flag_1-multi_2.0000-len_2883_5	2207	2689	483	-1	0.658	11	AGxAGG/AGGxGG	GENOMAD.143108.VP	1.476e-42	154	0	0	1	2561	Caudoviricetes	NA	NA	PF11114	phage protein, HK97 gp10 family
lane122s000605_bin.2.o_k141_266182-flag_1-multi_2.0000-len_2883_6	2701	2883	183	-1	0.596	11	None	GENOMAD.116270.VV	1.852e-05	42	0	0	1	1	NA	NA	NA	PF11367	NA
lane122s000605_bin.2.o_k141_81514-flag_1-multi_2.0000-len_2427_1	1	1299	1299	1	0.640	11	None	GENOMAD.208446.VP	8.271e-37	148	0	0	0	2561	Caudoviricetes	NA	NA	PF01555	N6-adenosine-specific RNA methylase IME4
lane122s000605_bin.2.o_k141_81514-flag_1-multi_2.0000-len_2427_2	1299	1730	432	1	0.632	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_81514-flag_1-multi_2.0000-len_2427_3	1715	2425	711	1	0.643	11	AGGAG/GGAGG	GENOMAD.190509.VP	1.088e-15	79	0	0	1	2561	Caudoviricetes	NA	NA	PF03354	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
lane122s000605_bin.2.o_k141_275958-flag_1-multi_1.0000-len_3121_1	3	506	504	-1	0.615	11	GGAG/GAGG	GENOMAD.142428.VP	6.376e-19	86	0	0	1	2561	Caudoviricetes	NA	NA	COG4653	Predicted phage phi-C31 gp36 major capsid-like protein
lane122s000605_bin.2.o_k141_275958-flag_1-multi_1.0000-len_3121_2	527	1105	579	-1	0.632	11	AGGA	GENOMAD.142428.VP	4.538e-35	134	0	0	1	2561	Caudoviricetes	NA	NA	COG4653	Predicted phage phi-C31 gp36 major capsid-like protein
lane122s000605_bin.2.o_k141_275958-flag_1-multi_1.0000-len_3121_3	1118	2809	1692	-1	0.632	11	AGGA/GGAG/GAGG	GENOMAD.151235.VP	1.593e-67	244	0	0	1	2561	Caudoviricetes	NA	NA	PF03354;PF05065	Phage terminase-like protein, large subunit, contains N-terminal HTH domain
lane122s000605_bin.2.o_k141_275958-flag_1-multi_1.0000-len_3121_4	2806	3120	315	-1	0.575	11	None	GENOMAD.177521.VP	1.639e-24	99	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_188524-flag_1-multi_4.0000-len_3831_1	3	326	324	-1	0.463	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_188524-flag_1-multi_4.0000-len_3831_2	329	1051	723	-1	0.533	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_188524-flag_1-multi_4.0000-len_3831_3	1130	1795	666	1	0.538	11	None	GENOMAD.169254.VC	6.959e-19	88	0	0	0	2561	Caudoviricetes	NA	NA	PF13641	Glycosyltransferase like family 2
lane122s000605_bin.2.o_k141_188524-flag_1-multi_4.0000-len_3831_4	1792	2409	618	1	0.503	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_188524-flag_1-multi_4.0000-len_3831_5	2406	3110	705	1	0.572	11	AAA	GENOMAD.129413.VV	1.006e-17	85	0	0	0	1	NA	NA	NA	PF05045	Rhamnan synthesis protein F
lane122s000605_bin.2.o_k141_188524-flag_1-multi_4.0000-len_3831_6	3107	3829	723	-1	0.521	11	None	GENOMAD.153872.VV	1.159e-55	196	0	0	0	1	NA	NA	NA	PF20102	Stealth protein CR2, conserved region 2
lane122s000605_bin.2.o_k141_62246-flag_1-multi_2.0000-len_1679_1	3	227	225	1	0.604	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_62246-flag_1-multi_2.0000-len_1679_2	227	583	357	1	0.627	11	GGA/GAG/AGG	GENOMAD.048295.VV	1.232e-25	103	0	0	1	2561	Caudoviricetes	NA	NA	PF05939	Phage minor tail protein
lane122s000605_bin.2.o_k141_62246-flag_1-multi_2.0000-len_1679_3	583	1104	522	1	0.625	11	AGGA/GGAG/GAGG	GENOMAD.026992.VV	2.794e-32	125	0	0	1	2561	Caudoviricetes	NA	NA	PF08875	Phage-related protein
lane122s000605_bin.2.o_k141_62246-flag_1-multi_2.0000-len_1679_4	1088	1504	417	1	0.621	11	None	GENOMAD.159546.VC	2.427e-18	83	0	0	0	2561	Caudoviricetes	NA	NA	PF00877	putative phage cell wall peptidase, NlpC/P60 family
lane122s000605_bin.2.o_k141_62246-flag_1-multi_2.0000-len_1679_5	1476	1679	204	1	0.642	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_178938-flag_0-multi_2.9747-len_2039_1	1	1341	1341	1	0.623	11	None	GENOMAD.027443.VV	2.157e-86	295	0	0	1	2561	Caudoviricetes	NA	NA	PF17288;PF04466	phage terminase, large subunit, PBSX family
lane122s000605_bin.2.o_k141_178938-flag_0-multi_2.9747-len_2039_2	1338	2039	702	1	0.615	11	None	GENOMAD.048172.VV	4.403e-19	89	0	0	1	1	NA	NA	NA	PF16510	Phage P22-like portal protein
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_1	1	480	480	1	0.621	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_2	609	1454	846	1	0.537	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_3	1547	1720	174	1	0.621	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_4	1713	1964	252	1	0.591	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_5	2271	2687	417	1	0.537	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_6	2684	4219	1536	1	0.522	11	GGAG/GAGG	GENOMAD.189760.VP	1.237e-15	83	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_7	4433	5041	609	1	0.558	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_8	5314	5628	315	1	0.575	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_9	6068	6322	255	1	0.490	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_10	6338	6550	213	1	0.493	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_11	6803	7357	555	-1	0.523	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_344452-flag_1-multi_8.0000-len_10574_12	8102	10573	2472	-1	0.470	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_159782-flag_1-multi_3.0000-len_1709_1	1	60	60	-1	0.583	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_159782-flag_1-multi_3.0000-len_1709_2	234	725	492	1	0.634	11	GGA/GAG/AGG	GENOMAD.160642.VP	1.833e-23	99	0	0	1	1	NA	NA	NA	PF07278	Phage DNA packaging protein, Nu1 subunit of terminase
lane122s000605_bin.2.o_k141_159782-flag_1-multi_3.0000-len_1709_3	722	1708	987	1	0.641	11	None	GENOMAD.113292.VP	1.909e-48	179	0	0	1	2561	Caudoviricetes	NA	NA	PF20454	Phage terminase, large subunit GpA
lane122s000605_bin.2.o_k141_247358-flag_1-multi_7.0000-len_4554_1	562	876	315	1	0.651	11	None	GENOMAD.206316.VP	9.111e-07	48	0	0	0	2561	Caudoviricetes	NA	NA	PF14359	Nucleoside 2-deoxyribosyltransferase
lane122s000605_bin.2.o_k141_247358-flag_1-multi_7.0000-len_4554_2	901	1119	219	-1	0.530	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_247358-flag_1-multi_7.0000-len_4554_3	1138	1455	318	-1	0.632	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_247358-flag_1-multi_7.0000-len_4554_4	1468	1746	279	-1	0.584	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_247358-flag_1-multi_7.0000-len_4554_5	1743	2108	366	-1	0.642	11	GGAGG	GENOMAD.145570.VV	6.264e-09	55	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_247358-flag_1-multi_7.0000-len_4554_6	2218	2508	291	1	0.636	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_247358-flag_1-multi_7.0000-len_4554_7	2505	2972	468	1	0.650	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_247358-flag_1-multi_7.0000-len_4554_8	3143	3583	441	1	0.590	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_247358-flag_1-multi_7.0000-len_4554_9	3580	3831	252	1	0.611	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
lane122s000605_bin.2.o_k141_247358-flag_1-multi_7.0000-len_4554_10	3828	4553	726	1	0.632	11	GGA/GAG/AGG	GENOMAD.027443.VV	2.489e-19	90	0	0	1	2561	Caudoviricetes	NA	NA	PF17288;PF04466	phage terminase, large subunit, PBSX family
lane122s000605_bin.2.o_k141_120871-flag_1-multi_3.0000-len_2822_1	3	1040	1038	-1	0.601	11	GGA/GAG/AGG	GENOMAD.197800.VP	1.493e-48	180	0	0	1	2561	Caudoviricetes	NA	NA	PF07030	Phage-related protein, tail component
lane122s000605_bin.2.o_k141_120871-flag_1-multi_3.0000-len_2822_2	1009	1434	426	-1	0.608	11	3Base/5BMM	GENOMAD.159546.VC	1.226e-18	84	0	0	0	2561	Caudoviricetes	NA	NA	PF00877	putative phage cell wall peptidase, NlpC/P60 family
lane122s000605_bin.2.o_k141_120871-flag_1-multi_3.0000-len_2822_3	1418	1942	525	-1	0.571	11	AGGAG	GENOMAD.026992.VV	6.441e-32	124	0	0	1	2561	Caudoviricetes	NA	NA	PF08875	Phage-related protein
lane122s000605_bin.2.o_k141_120871-flag_1-multi_3.0000-len_2822_4	1943	2296	354	-1	0.613	11	GGAG/GAGG	GENOMAD.048295.VV	1.18e-25	103	0	0	1	2561	Caudoviricetes	NA	NA	PF05939	Phage minor tail protein
